isolate,average_log10(accumulation),average_symptoms,average_transmission
3-Nov,-1.2853,10.2,0.436036642
Aust,-0.9427,11.3333,0.399409723
Bari-2,-0.8226,15.4167,0.51682115
Bari-3,-0.7071,14.3333,0.369006966
Belt,-0.6061,13.9167,0.669145096
Belt-7,-0.6372,17.6667,0.280011513
Braunschweig,0.2802,6.9167,0.117391927
BSE,0.4877,13.0833,0.24745229
Cauli&Chin,-0.1254,9.3333,0.099095726
Cabb-B,-0.6245,19,0.611111082
Cabb-BD,-0.8266,12.9167,0.081264575
Cost-2,0.8268,13.4167,0.369006966
GCRI,0.9908,12.25,0.558519579
Greek-2,0.4516,9.1667,0.149548428
Hung-1,-0.3938,8.4167,0.08126456
IG,1.4063,14.75,0.284490116
Jap-2,-0.3991,15.6667,0.578959622
NCH-1,1.2755,15,0.537594414
Nome,-0.3836,13.9167,0.5
NY8153,0.5212,12.25,0.24745229
NZ-1,0.695,12.75,0.280011533
NZ-2,1.0254,10.5833,0.421040426
Phatak,-0.3474,8.9,0.097851722
Str,-2.8417,5.75,0.205213096
Yug-3,1.5616,10.3333,0.5
